punkt,text
PSR_1.,"Правила по охране труда при строительстве, реконструкции и ремонте (далее - Правила) устанавливают государственные нормативные требования охраны труда при проведении строительных работ, выполняемых при новом строительстве, расширении, реконструкции, техническом перевооружении, текущем и капитальном ремонте зданий и сооружений (далее - строительное производство).
Требования Правил обязательны для исполнения работодателями, являющимися индивидуальными предпринимателями, а также работодателями - юридическими лицами независимо от их организационно-правовой формы при организации и осуществлении ими строительного производства."
PSR_2.,"Работодатель (лицо, осуществляющее строительство, расширение, реконструкцию, техническое перевооружение, капитальный ремонт объекта капитального строительства, которым может являться застройщик либо привлекаемое застройщиком или техническим заказчиком на основании гражданско-правового договора физическое или юридическое лицо, соответствующее требованиям градостроительного законодательства Российской Федерации, и которое вправе выполнять определенные виды работ по строительству, расширению, реконструкции, техническому перевооружению, капитальному ремонту объекта капитального строительства самостоятельно или с привлечением других лиц, соответствующих требованиям градостроительного законодательства Российской Федерации) должен обеспечить безопасность строительного производства и безопасную эксплуатацию технологического оборудования, используемого в строительном производстве, соответствие строительного производства требованиям законодательства Российской Федерации об охране труда и иных нормативных правовых актов в сфере охраны труда, а также контроль за соблюдением требований Правил."
PSR_3.,"В соответствии с требованиями Правил работодателем в установленном порядке должна быть организована разработка инструкций по охране труда по профессиям и (или) видам выполняемых работ, которые утверждаются локальными нормативными актами работодателя с учетом мнения соответствующего профсоюзного органа либо иного уполномоченного работниками, участвующими в строительном производстве, (далее - работники) представительного органа (при наличии)."
PSR_4.,"В случае применения технологий и методов работ, материалов, технологической оснастки, инструмента, инвентаря, оборудования и транспортных средств, требования охраны труда к которым не регламентированы Правилами, работодателем должны быть разработаны и проведены мероприятия по охране труда в соответствии с требованиями нормативных правовых актов, содержащих государственные нормативные требования охраны труда (далее - требования охраны труда)."
PSR_5.,"Работодатель, исходя из специфики своего строительного производства и характеристик объекта, обязан в рамках процедуры управления профессиональными рисками системы управления охраной труда (далее - СУОТ) провести оценку профессиональных рисков, связанных со следующими опасностями:
1) используемые им движущиеся машины и механизмы, подвижные части технологического оборудования, передвигающиеся заготовки и строительные материалы,
2) опрокидывание машин;
3) неустойчивое состояния сооружения, объекта, опалубки и поддерживающих креплений;
4) высокие ветровые нагрузки;
5) падающие куски породы, предметы и материалы, самопроизвольно обрушающиеся конструкции зданий и сооружений и их элементы, оборудование, горные породы и грунты;
6) наличие острой кромки, углов, торчащих штырей;
7) работы на высоте;
8) опасность, связанная с выбросом пыли и вредных веществ;
9) опасность, связанная с воздействием шума, в том числе опасность, связанная с возможностью не услышать звуковой сигнал об опасности;
10) опасность недостаточной освещенности или повышенной яркости света в рабочей зоне;
11) опасность воздействия пониженных или повышенных температур воздуха;
12) опасность поражения током;
13) иные опасности, представляющие угрозу жизни и здоровью работников, включенных работодателем в перечень идентифицированных опасностей."
PSR_6.,"Работодатель, обязан проконтролировать наличие и достаточность сведений в документации, представляемой им в рамках специальной оценки условий труда (СОУТ) для идентификации потенциально вредных и (или) опасных производственных факторов строительного производства. Перечень вредных и (или) опасных производственных факторов строительного производства может быть расширен работодателем, исходя из специфики своего строительного производства и характеристик объекта."
PSR_7.,"Работодатель в зависимости от специфики своей деятельности и исходя из оценки уровня профессионального риска вправе:
1) устанавливать дополнительные требования безопасности, не противоречащие Правилам. Требования охраны труда должны содержаться в соответствующих инструкциях по охране труда, доводиться до работника в виде распоряжений, указаний, инструктажа;
2) в целях контроля за безопасным производством работ применять приборы, устройства, оборудование и (или) комплекс (систему) приборов, устройств, оборудования, обеспечивающие дистанционную видео-, аудио или иную фиксацию процессов производства работ."
PSR_8.,"Допускается возможность ведения документооборота в области охраны труда в электронном виде с использованием электронной подписи или любого другого способа, позволяющего идентифицировать личность работника, в соответствии с законодательством Российской Федерации."
PSR_9.,"Организация и проведение строительного производства на объектах капитального строительства должны осуществляться в соответствии с организационно-технологической документацией на строительное производство, которая предусматривает перечень мероприятий и решений по определению технических средств и методов работ для конкретных видов выполняемых процессов и работ, обеспечивающих выполнение требований законодательства Российской Федерации по охране труда."
PSR_10.,"Работодатель при организации строительного производства обязан учесть указанные в организационно-технологической документации на строительное производство опасные зоны, в которых возможно воздействие опасных производственных факторов, связанных или не связанных с технологией и характером выполняемых работ."
